,name,privacy,Number,url,radius,location
0,Franklin Talk,Private,9.3K members · 10+ posts a day,https://www.facebook.com/groups/1683208912128739/?__tn__=%3C,300,Franklin
1,Franklin Ohio community group,Private,1.6K members · 3 posts a day,https://www.facebook.com/groups/945686389480052/?__tn__=%3C,300,Franklin
2,All about Franklin Mass,Private,21K members · 10+ posts a day,https://www.facebook.com/groups/1551606135109407/?__tn__=%3C,300,Franklin
3,FRANKLIN AREA COMMUNITY PAGE,Private,19K members · 10+ posts a day,https://www.facebook.com/groups/170425859988554/?__tn__=%3C,300,Franklin
4,City Of Franklin Chat,Private,28K members · 10+ posts a day,https://www.facebook.com/groups/franklincitychat/?__tn__=%3C,300,Franklin
5,Franklin Local (NC),Private,2.6K members · 3 posts a day,https://www.facebook.com/groups/franklinlocal/?__tn__=%3C,300,Franklin
6,"Cool Springs, Franklin, Brentwood Jobs",Private,3.9K members · 2 posts a day,https://www.facebook.com/groups/437983139925566/?__tn__=%3C,300,Franklin
7,Grace Chapel Franklin Online Family,Private,3.8K members,https://www.facebook.com/groups/gracechapeltn/?__tn__=%3C,300,Franklin
8,The real Franklin talk,Private,7.2K members · 5 posts a day,https://www.facebook.com/groups/135164803583707/?__tn__=%3C,300,Franklin
9,"WHATS GOING ON IN FRANKLIN, VA (THE ORIGINAL)",Private,10K members · 10+ posts a day,https://www.facebook.com/groups/franklinvirginia/?__tn__=%3C,300,Franklin
10,Friendly In Franklin (And the Surrounding Towns),Private,5.6K members · 8 posts a day,https://www.facebook.com/groups/610380545745234/?__tn__=%3C,300,Franklin
11,Franklin's talkin' 2,Private,9.5K members · 10+ posts a day,https://www.facebook.com/groups/245671099171671/?__tn__=%3C,300,Franklin
12,"HIP Franklin, Ky /99% uncensored",Private,4.6K members · 7 posts a day,https://www.facebook.com/groups/490283941746352/?__tn__=%3C,300,Franklin
13,"Westhaven Community - Franklin, TN",Private,3.1K members · 10+ posts a day,https://www.facebook.com/groups/westhaventn/?__tn__=%3C,300,Franklin
14,"Franklin, KY (and surrounding areas) Events, Attractions, and Information",Private,1.6K members,https://www.facebook.com/groups/646411595936800/?__tn__=%3C,300,Franklin
15,Railroads In Franklin (Sussex County) NJ,Private,769 members,https://www.facebook.com/groups/109529516255476/?__tn__=%3C,300,Franklin
16,HIP FRANKLIN TN,Private,5.3K members · 8 posts a day,https://www.facebook.com/groups/177814612763201/?__tn__=%3C,300,Franklin
17,HIP FRANKLIN,Private,579 members,https://www.facebook.com/groups/Official.Hip.Franklin.Tn.Group/?__tn__=%3C,300,Franklin
18,Franklin Borough Historical Commission,Private,1.2K members,https://www.facebook.com/groups/220064072212853/?__tn__=%3C,300,Franklin
19,Franklin Rentals,Private,245 members,https://www.facebook.com/groups/797024737812480/?__tn__=%3C,300,Franklin
20,Franklin Free stuff !,Private,773 members · 2 posts a day,https://www.facebook.com/groups/2818774241598221/?__tn__=%3C,300,Franklin
21,Franklin Pick-Up Soccer,Private,1.3K members,https://www.facebook.com/groups/1232413526931989/?__tn__=%3C,300,Franklin
